City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,luderitz,-26.6481,15.1594,19.37,65,95,3.82,NA,1667396943
112,thompson,55.7435,-97.8558,-5.91,86,100,6.69,CA,1667396973
113,georgetown,5.4112,100.3354,27.97,83,20,2.68,MY,1667396709
114,ekhabi,53.5102,142.9671,-2.01,70,5,6.08,RU,1667396973
115,vila velha,-20.3297,-40.2925,23.97,85,100,7.72,BR,1667396973
116,road town,18.4167,-64.6167,29.05,84,40,4.12,VG,1667396974
117,san jeronimo,-11.9472,-75.2829,12.36,64,100,1.73,PE,1667396974
118,mayumba,-3.432,10.6554,22.77,95,100,2.81,GA,1667396974
119,tecoanapa,16.5167,-98.75,25.89,80,5,1.52,MX,1667396974
120,konya,38.1667,32.5,15.71,30,0,2.6,TR,1667396975
121,batemans bay,-35.7167,150.1833,8.17,74,10,3.03,AU,1667396975
122,harper,4.375,-7.7169,27.66,75,98,3.06,LR,1667396942
123,sharan,54.8167,54.0,-0.76,87,40,3.92,RU,1667396975
124,shitanjing,39.2342,106.3439,5.7,38,8,1.92,CN,1667396845
125,hasaki,35.7333,140.8333,15.12,68,0,0.84,JP,1667396976
126,lhokseumawe,5.1801,97.1507,25.99,82,100,2.2,ID,1667396748
127,brovst,57.0956,9.528,11.65,87,75,7.2,DK,1667396976
128,guangyuan,32.442,105.823,16.27,79,100,1.98,CN,1667396977
129,alice springs,-23.7,133.8833,14.75,38,0,3.6,AU,1667396977
130,longyearbyen,78.2186,15.6401,0.91,93,75,3.6,SJ,1667396977
131,lazarev,52.225,141.5131,-0.25,53,100,7.06,RU,1667396978
132,buala,-8.145,159.5921,26.43,83,100,1.4,SB,1667396978
133,qaanaaq,77.484,-69.3632,-15.68,86,93,3.49,GL,1667396978
134,talnakh,69.4865,88.3972,-15.34,98,98,1.94,RU,1667396954
135,goderich,43.7501,-81.7165,8.18,87,9,2.06,CA,1667396979
136,casa nova,-9.4167,-41.1333,28.38,55,100,2.82,BR,1667396979
137,grand gaube,-20.0064,57.6608,25.22,67,2,3.13,MU,1667396979
138,ancud,-41.8697,-73.8203,15.5,65,0,0.71,CL,1667396980
139,cidreira,-30.1811,-50.2056,17.09,47,1,3.71,BR,1667396980
140,safaga,26.7292,33.9365,26.1,46,0,10.12,EG,1667396980
141,hofn,64.2539,-15.2082,6.01,52,75,3.6,IS,1667396980
142,college,64.8569,-147.8028,-12.03,78,75,4.12,US,1667396980
143,hede,33.7681,120.2517,12.28,76,0,2.86,CN,1667396981
144,deputatskiy,69.3,139.9,-20.48,95,98,1.12,RU,1667396981
145,aklavik,68.2191,-135.0107,-23.84,96,33,6.91,CA,1667396981
146,palu,-0.8917,119.8707,25.09,94,100,0.97,ID,1667396982
147,cherskiy,68.75,161.3,-30.26,98,27,2.95,RU,1667396982
148,zima,53.9202,102.0442,-6.09,84,46,1.74,RU,1667396982
149,saryg-sep,51.5,95.6,-10.07,96,35,1.32,RU,1667396982
150,kaeo,-35.1,173.7833,19.07,91,99,5.07,NZ,1667396701
151,ozinki,51.1786,49.6769,1.34,72,100,8.91,RU,1667396983
152,pingliang,35.5392,106.6861,7.65,54,92,2.94,CN,1667396983
153,dillon,34.4166,-79.3712,17.92,66,78,3.88,US,1667396983
154,kalachinsk,55.0529,74.5751,2.53,84,76,7.04,RU,1667396984
155,yar-sale,66.8333,70.8333,-8.98,92,100,2.03,RU,1667396984
156,hamilton,39.1834,-84.5333,11.66,97,100,0.0,US,1667396984
157,saskylakh,71.9167,114.0833,-11.37,92,100,5.79,RU,1667396985
158,klerksdorp,-26.8521,26.6667,21.13,55,91,4.96,ZA,1667396985
159,ribeira grande,38.5167,-28.7,21.22,88,75,4.12,PT,1667396822
160,scarborough,54.2797,-0.4044,12.03,82,100,4.92,GB,1667396985
161,tshikapa,-6.4167,20.8,26.21,65,99,2.33,CD,1667396842
162,varzea da palma,-17.5981,-44.7308,21.81,89,100,3.81,BR,1667396986
163,klaksvik,62.2266,-6.589,9.51,74,8,10.62,FO,1667396986
164,jardim,-21.4803,-56.1381,20.66,37,0,4.48,BR,1667396701
165,tongling,30.95,117.7833,15.42,65,0,2.23,CN,1667396823
166,tomatlan,19.9333,-105.25,20.08,78,0,1.42,MX,1667396987
167,camabatela,-8.1881,15.375,24.49,66,100,0.51,AO,1667396987
168,oktyabrskiy,54.4815,53.471,-2.84,93,42,2.72,RU,1667396987
169,nara,34.6851,135.8049,16.39,67,0,0.85,JP,1667396719
170,tautira,-17.7333,-149.15,23.92,87,100,8.51,PF,1667396988
171,ahipara,-35.1667,173.1667,17.86,91,79,5.57,NZ,1667396988
172,guiglo,6.5456,-7.4966,32.22,49,9,0.93,CI,1667396934
173,progreso,21.2833,-89.6667,27.28,84,58,3.7,MX,1667396989
174,oistins,13.0667,-59.5333,29.05,84,40,5.66,BB,1667396989
175,tukrah,32.5341,20.5791,22.5,58,0,3.77,LY,1667396941
176,muroto,33.2833,134.15,20.06,72,0,1.35,JP,1667396857
177,la ronge,55.1001,-105.2842,-2.86,93,100,6.17,CA,1667396990
178,burnie,-41.0667,145.9167,6.64,72,76,5.47,AU,1667396990
179,charters towers,-20.1,146.2667,21.88,22,46,5.55,AU,1667396990
180,gillette,44.2911,-105.5022,12.24,31,0,8.05,US,1667396990
181,carutapera,-1.195,-46.02,31.78,56,98,2.33,BR,1667396991
182,roma,43.2128,-75.4557,12.75,93,100,0.0,US,1667396894
183,salalah,17.0151,54.0924,29.05,61,20,4.63,OM,1667396711
184,kaitangata,-46.2817,169.8464,9.01,97,100,3.1,NZ,1667396991
185,comodoro rivadavia,-45.8667,-67.5,20.92,32,0,2.06,AR,1667396980
186,jiwani,25.05,61.7417,27.23,71,49,4.11,PK,1667396950
187,codrington,-38.2667,141.9667,8.93,73,79,5.79,AU,1667396992
188,olafsvik,64.8945,-23.7142,3.99,80,100,10.44,IS,1667396993
189,ushtobe,45.2514,77.9838,11.69,36,100,2.46,KZ,1667396993
190,esperance,-33.8667,121.9,12.19,82,15,4.0,AU,1667396731
191,muros,42.7762,-9.0603,17.27,81,100,5.25,ES,1667396923
192,tiksi,71.6872,128.8694,-10.06,82,100,9.86,RU,1667396994
193,sitka,57.0531,-135.33,0.94,80,0,2.57,US,1667396994
194,coquimbo,-29.9533,-71.3436,12.85,87,100,1.54,CL,1667396994
195,north bend,43.4065,-124.2243,6.76,97,100,2.06,US,1667396995
196,carnarvon,-24.8667,113.6333,22.3,58,0,8.61,AU,1667396995
197,upernavik,72.7868,-56.1549,-11.12,58,75,4.13,GL,1667397001
198,bulgan,48.8125,103.5347,-6.33,66,7,0.46,MN,1667397001
199,zhigansk,66.7697,123.3711,-12.54,94,100,10.33,RU,1667397001
200,cuiluan,47.72,128.648,-5.3,67,12,4.37,CN,1667397001
201,houma,29.5958,-90.7195,19.44,100,0,2.73,US,1667397002
202,port-gentil,-0.7193,8.7815,22.98,100,75,2.06,GA,1667397002
203,tulle,45.3333,1.8333,14.44,56,87,1.4,FR,1667397002
204,tessalit,20.1986,1.0114,31.89,10,0,4.6,ML,1667397003
205,islamkot,24.6997,70.177,29.11,30,0,4.55,PK,1667397003
206,kostomuksha,64.571,30.5767,1.74,95,100,1.51,RU,1667397003
207,ferme-neuve,46.7001,-75.4493,6.54,68,13,2.32,CA,1667397004
208,havre,49.5833,0.3333,14.87,67,0,6.17,FR,1667397004
209,mount pleasant,32.7941,-79.8626,19.48,83,0,2.24,US,1667396708
210,makasar,-5.14,119.4221,25.03,94,20,1.03,ID,1667396769
211,kruisfontein,-34.0033,24.7314,23.24,59,100,10.27,ZA,1667396957
212,aquiraz,-3.9014,-38.3911,31.92,61,98,4.35,BR,1667397005
213,saint-philippe,-21.3585,55.7679,25.77,82,51,5.66,RE,1667397005
214,shingu,33.7333,135.9833,16.75,90,2,1.73,JP,1667396928
215,broome,42.2506,-75.833,12.33,79,0,3.09,US,1667397006
216,marsh harbour,26.5412,-77.0636,27.08,74,46,3.14,BS,1667397006
217,merauke,-8.4667,140.3333,27.83,82,74,4.24,ID,1667397007
218,vanimo,-2.6741,141.3028,26.72,85,78,1.11,PG,1667397007
219,rawson,-43.3002,-65.1023,19.53,31,0,5.36,AR,1667397007
220,dire dawa,9.5931,41.8661,28.26,23,18,4.63,ET,1667397008
221,marzuq,14.4,46.4667,26.06,36,11,3.39,YE,1667397009
222,mehamn,71.0357,27.8492,3.97,81,0,10.29,NO,1667397009
223,labuhan,-6.8844,112.2051,27.75,76,100,1.21,ID,1667397009
224,vila do maio,15.1333,-23.2167,32.44,69,59,4.56,CV,1667397010
225,guerrero negro,27.9769,-114.0611,17.89,89,98,2.93,MX,1667397010
226,chokurdakh,70.6333,147.9167,-23.68,96,50,3.04,RU,1667397010
227,leningradskiy,69.3833,178.4167,-15.18,91,100,5.89,RU,1667397010
228,bluff,-46.6,168.3333,9.93,95,100,3.36,NZ,1667397011
229,maceio,-9.6658,-35.7353,28.69,69,75,5.66,BR,1667397011
230,lagoa,39.05,-27.9833,19.09,96,100,8.21,PT,1667397011
231,palafrugell,41.9174,3.1631,22.42,39,54,3.4,ES,1667397011
232,camacari,-12.6975,-38.3242,28.87,73,97,2.43,BR,1667397012
233,nishihara,26.1842,127.7558,22.81,88,75,3.09,JP,1667397012
234,faanui,-16.4833,-151.75,24.93,84,100,7.63,PF,1667397012
235,luba,3.4568,8.5547,26.94,77,100,1.43,GQ,1667397013
236,laibin,23.7,109.2667,21.22,40,74,1.75,CN,1667397013
237,ascension,30.2169,-90.9001,19.44,89,75,0.0,US,1667397013
